review_id,product_id,product_name,star_rating,overall_score,overall_sentiment,contrast,aspect,aspect_score,aspect_sentiment,confidence,opinion_words,evidence
R001,P001,NovaTech X12 Pro,3,1.538,mixed,True,camera,5.7,positive,0.95,incredible,The camera on this phone is absolutely incredible.
R001,P001,NovaTech X12 Pro,3,1.538,mixed,True,camera,6.0,positive,0.8,sharp|crisp|stunning,"Photos are sharp, crisp and the night mode is stunning — easily the best I've used."
R001,P001,NovaTech X12 Pro,3,1.538,mixed,True,battery,-3.0,negative,0.9,terrible,"However, the battery life is terrible."
R001,P001,NovaTech X12 Pro,3,1.538,mixed,True,battery,-0.2,neutral,0.4,drains|fast,It drains so fast that I have to charge it twice a day.
R001,P001,NovaTech X12 Pro,3,1.538,mixed,True,performance,-0.2,neutral,0.4,drains|fast,It drains so fast that I have to charge it twice a day.
R001,P001,NovaTech X12 Pro,3,1.538,mixed,True,display,4.5,positive,0.75,vibrant|bright|love,"The display is vibrant and bright, which I love,"
R001,P001,NovaTech X12 Pro,3,1.538,mixed,True,battery,-1.5,negative,0.75,drain,that probably explains the battery drain.
R001,P001,NovaTech X12 Pro,3,1.538,mixed,True,build_quality,1.0,positive,0.6,solid,Build quality feels premium and solid.
R002,P001,NovaTech X12 Pro,3,0.63,mixed,True,display,4.4,positive,0.82,excellent|bright,The screen resolution is excellent and the display is really bright even in sunlight.
R002,P001,NovaTech X12 Pro,3,0.63,mixed,True,display,2.0,positive,0.6,smooth|fast,Touch response is smooth and fast.
R002,P001,NovaTech X12 Pro,3,0.63,mixed,True,performance,2.0,positive,0.6,smooth|fast,Touch response is smooth and fast.
R002,P001,NovaTech X12 Pro,3,0.63,mixed,True,software,2.0,positive,0.6,smooth|fast,Touch response is smooth and fast.
R002,P001,NovaTech X12 Pro,3,0.63,mixed,True,software,-0.6,negative,0.56,clean,Unfortunately the software has too much bloatware and the UI is not clean at all.
R002,P001,NovaTech X12 Pro,3,0.63,mixed,True,software,-1.5,negative,0.75,annoying,There are annoying bugs that cause the phone to freeze occasionally.
R002,P001,NovaTech X12 Pro,3,0.63,mixed,True,performance,1.0,positive,0.6,decent,Performance is decent for everyday tasks
R002,P001,NovaTech X12 Pro,3,0.63,mixed,True,performance,-1.5,negative,0.75,heating,gaming causes heavy heating.
R002,P001,NovaTech X12 Pro,3,0.63,mixed,True,build_quality,-1.5,negative,0.75,heating,gaming causes heavy heating.
R002,P001,NovaTech X12 Pro,3,0.63,mixed,True,battery,0.0,neutral,0.3,,Battery lasts about a day with moderate use which is acceptable.
R003,P001,NovaTech X12 Pro,4,1.94,positive,True,camera,1.2,positive,0.62,disappointed,I bought this specifically for the camera and I was not disappointed.
R003,P001,NovaTech X12 Pro,4,1.94,positive,True,camera,5.4,positive,0.87,sharp|accurate,The photos are exceptionally sharp with accurate colors.
R003,P001,NovaTech X12 Pro,4,1.94,positive,True,camera,1.0,positive,0.6,smooth,Video recording is smooth at 4K.
R003,P001,NovaTech X12 Pro,4,1.94,positive,True,display,1.0,positive,0.6,smooth,Video recording is smooth at 4K.
R003,P001,NovaTech X12 Pro,4,1.94,positive,True,software,1.0,positive,0.6,smooth,Video recording is smooth at 4K.
R003,P001,NovaTech X12 Pro,4,1.94,positive,True,camera,2.0,positive,0.8,impressive,The zoom capability is impressive.
R003,P001,NovaTech X12 Pro,4,1.94,positive,True,build_quality,1.0,positive,0.6,solid,Build quality is solid with a premium glass finish.
R003,P001,NovaTech X12 Pro,4,1.94,positive,True,display,4.0,positive,0.8,excellent|bright,The display has excellent color accuracy and is bright.
R003,P001,NovaTech X12 Pro,4,1.94,positive,True,battery,0.8,positive,0.58,better,Battery could be better
R003,P001,NovaTech X12 Pro,4,1.94,positive,True,price_value,2.0,positive,0.8,great,Overall great value.
R004,P001,NovaTech X12 Pro,2,-0.45,mixed,False,performance,1.0,positive,0.6,fast,The performance starts fast
R004,P001,NovaTech X12 Pro,2,-0.45,mixed,False,performance,0.0,neutral,0.3,,the processor heats up within 20 minutes of gaming.
R004,P001,NovaTech X12 Pro,2,-0.45,mixed,False,camera,1.0,positive,0.6,good,Camera is good for everyday shots
R004,P001,NovaTech X12 Pro,2,-0.45,mixed,False,battery,0.5,neutral,0.4,drains|fast,The battery drains extremely fast when the phone is hot.
